Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
PARD3,IHPARDINI,ON NM,41617930,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MEAL3,IMC S/A,ON NM,264997832,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
GNDI3,INTERMEDICA,ON NM,592114608,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MYPK3,IOCHP-MAXION,ON NM,137561133,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
JBSS3,JBS,ON NM,1346828080,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
JHSF3,JHSF PART,ON NM,305915142,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LAVV3,LAVVI,ON NM,93139429,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
RENT3,LOCALIZA,ON NM,593944309,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LCAM3,LOCAMERICA,ON NM,324522975,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LAME3,LOJAS AMERIC,ON N1,246443270,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LAME4,LOJAS AMERIC,PN N1,853524256,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
AMAR3,LOJAS MARISA,ON NM,111646974,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LREN3,LOJAS RENNER,ON NM,889725318,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MDIA3,M.DIASBRANCO,ON EJ NM,83169222,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MGLU3,MAGAZ LUIZA,ON NM,2820185158,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MRFG3,MARFRIG,ON ED NM,348234011,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MELK3,MELNICK,ON NM,76155470,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LEVE3,METAL LEVE,ON NM,38492518,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
BEEF3,MINERVA,ON NM,242962308,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MTRE3,MITRE REALTY,ON NM,54034454,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MOVI3,MOVIDA,ON NM,133440549,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
MRVE3,MRV,ON NM,294643879,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
ODPV3,ODONTOPREV,ON NM,257081661,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
PCAR3,P.ACUCAR-CBD,ON NM,156946474,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
PGMN3,PAGUE MENOS,ON NM,157843200,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
PETZ3,PETZ,ON NM,258407844,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
PLPL3,PLANOEPLANO,ON NM,66384300,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
QUAL3,QUALICORP,ON NM,283670037,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
LJQQ3,QUERO-QUERO,ON NM,179176919,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
RADL3,RAIADROGASIL,ON NM,1071076905,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
RDOR3,REDE D OR,ON EDJ NM,929901433,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
SMTO3,SAO MARTINHO,ON NM,142845106,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
SEER3,SER EDUCA,ON NM,54338507,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
SLCE3,SLC AGRICOLA,ON NM,89042697,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
TECN3,TECHNOS,ON NM,63500478,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
TCSA3,TECNISA,ON NM,52380706,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
TEND3,TENDA,ON NM,96139516,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
SHOW3,TIME FOR FUN,ON NM,34484939,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
TRIS3,TRISUL,ON NM,83225626,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
VAMO3,VAMOS,ON NM,200729920,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
VIIA3,VIA,ON NM,1595895585,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
VIVA3,VIVARA S.A.,ON NM,99446859,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
VULC3,VULCABRAS,ON NM,73766391,Segments and Sectors,ICON,BM&FBOVESPA Consumer Stock Index (ICON)
