IGCX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
GFSA3,GAFISA,ON      NM,236416182,0.015,
GGBR3,GERDAU,ON      N1,14031044,0.007,
GGBR4,GERDAU,PN      N1,1097534498,0.644,
GOAU3,GERDAU MET,ON      N1,90953948,0.022,
GOAU4,GERDAU MET,PN      N1,698275321,0.189,
NINJ3,GETNINJAS,ON      NM,85795778,0.028,
GOLL4,GOL,PN      N2,250642821,0.111,
GGPS3,GPS,ON      NM,770445246,0.288,
GRND3,GRENDENE,ON      NM,536734760,0.119,
GMAT3,GRUPO MATEUS,ON      NM,927904326,0.137,
NTCO3,GRUPO NATURA,ON      NM,1687741618,1.783,
SBFG3,GRUPO SBF,ON      NM,190952290,0.135,
SOMA3,GRUPO SOMA,ON      NM,460100310,0.181,
HAPV3,HAPVIDA,ON      NM,2613878420,0.887,
HBRE3,HBR REALTY,ON      NM,51594492,0.015,
HBOR3,HELBOR,ON      NM,130613192,0.018,
HBSA3,HIDROVIAS,ON      NM,1520219132,0.148,
HYPE3,HYPERA,ON      NM,823606718,0.613,
IGTA3,IGUATEMI,ON      NM,171496554,0.122,
PARD3,IHPARDINI,ON      NM,83235860,0.046,
MEAL3,IMC S/A,ON      NM,529995664,0.039,
ROMI3,INDS ROMI,ON      NM,74545320,0.036,
IFCM3,INFRACOMM,ON      NM,473079420,0.172,
INTB3,INTELBRAS,ON      NM,164453482,0.111,
GNDI3,INTERMEDICA,ON      NM,1184229216,2.220,
MYPK3,IOCHP-MAXION,ON      NM,275122266,0.097,
RANI3,IRANI,ON      NM,212206330,0.030,
IRBR3,IRBBRASIL RE,ON      NM,2510573062,0.294,
ITSA3,ITAUSA,ON      N1,1061351420,0.264,
ITSA4,ITAUSA,PN      N1,4515559175,1.115,
ITUB3,ITAUUNIBANCO,ON      N1,385293206,0.227,
ITUB4,ITAUUNIBANCO,PN      N1,4780002924,3.026,
JALL3,JALLESMACHAD,ON      NM,195426896,0.044,
JBSS3,JBS,ON      NM,2693656160,1.976,
JHSF3,JHSF PART,ON      NM,611830284,0.085,
JSLG3,JSL,ON      NM,126798078,0.026,
KLBN11,KLABIN S/A,UNT     N2,1219491595,0.649,
KRSA3,KORA SAUDE,ON      NM,160158270,0.028,
LAVV3,LAVVI,ON      NM,186278858,0.027,
LIGT3,LIGHT S/A,ON      NM,745110648,0.229,
RENT3,LOCALIZA,ON      NM,1187888618,1.510,
LCAM3,LOCAMERICA,ON      NM,649045950,0.364,
LWSA3,LOCAWEB,ON      NM,863567096,0.462,
LOGG3,LOG COM PROP,ON      NM,118381182,0.076,
LOGN3,LOG-IN,ON      NM,200680688,0.089,
LAME3,LOJAS AMERIC,ON      N1,246443270,0.029,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.107,
AMAR3,LOJAS MARISA,ON      NM,223293948,0.028,
LREN3,LOJAS RENNER,ON      NM,1779450636,1.472,
LPSB3,LOPES BRASIL,ON      NM,229748616,0.016,
MDIA3,M.DIASBRANCO,ON  EJ  NM,166338444,0.115,
MGLU3,MAGAZ LUIZA,ON      NM,5640370316,2.051,
POMO3,MARCOPOLO,ON      N2,249888492,0.013,
POMO4,MARCOPOLO,PN      N2,836648874,0.050,
MRFG3,MARFRIG,ON  ED  NM,696468022,0.335,
MATD3,MATER DEI,ON      NM,162047488,0.069,
CASH3,MELIUZ,ON  EB  NM,1086977604,0.178,
MELK3,MELNICK,ON      NM,152310940,0.014,
BMEB3,MERC BRASIL,ON      N1,10919947,0.005,
BMEB4,MERC BRASIL,PN      N1,14207979,0.006,
LEVE3,METAL LEVE,ON      NM,76985036,0.066,
MILS3,MILLS,ON      NM,227908716,0.033,
BEEF3,MINERVA,ON      NM,485924616,0.107,
MTRE3,MITRE REALTY,ON      NM,108068908,0.020,
MBLY3,MOBLY,ON      NM,88888890,0.017,
MODL11,MODALMAIS,UNT     N2,129848203,0.052,
MOSI3,MOSAICO,ON      NM,135617284,0.035,
MDNE3,MOURA DUBEUX,ON      NM,113915190,0.019,
MOVI3,MOVIDA,ON      NM,266881098,0.109,
MRVE3,MRV,ON      NM,589287758,0.181,
MLAS3,MULTILASER,ON      NM,344626476,0.060,
MULT3,MULTIPLAN,ON      N2,410259967,0.184,
NEOE3,NEOENERGIA,ON      NM,452196384,0.158,
NGRD3,NEOGRID,ON      NM,219486856,0.025,
OPCT3,OCEANPACT,ON      NM,257664652,0.025,
ODPV3,ODONTOPREV,ON      NM,514163322,0.162,
OMGE3,OMEGA GER,ON      NM,245809218,0.197,
ONCO3,ONCOCLINICAS,ON      NM,271576898,0.093,
ORVR3,ORIZON,ON      NM,47287498,0.032,
OFSA3,OUROFINO S/A,ON      NM,47165666,0.030,
PCAR3,P.ACUCAR-CBD,ON      NM,313892948,0.187,
PDTC3,PADTEC,ON      NM,69787612,0.011,
PGMN3,PAGUE MENOS,ON      NM,315686400,0.091,
