IGNM - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,2.939,
MRFG3,MARFRIG,ON  ED  NM,348234011,0.479,
MATD3,MATER DEI,ON      NM,81023744,0.099,
CASH3,MELIUZ,ON  EB  NM,543488802,0.255,
MELK3,MELNICK,ON      NM,76155470,0.020,
LEVE3,METAL LEVE,ON      NM,38492518,0.094,
MILS3,MILLS,ON      NM,113954358,0.048,
BEEF3,MINERVA,ON      NM,242962308,0.152,
MTRE3,MITRE REALTY,ON      NM,54034454,0.029,
MBLY3,MOBLY,ON      NM,44444445,0.025,
MOSI3,MOSAICO,ON      NM,67808642,0.051,
MDNE3,MOURA DUBEUX,ON      NM,56957595,0.027,
MOVI3,MOVIDA,ON      NM,133440549,0.156,
MRVE3,MRV,ON      NM,294643879,0.259,
MLAS3,MULTILASER,ON      NM,172313238,0.086,
NEOE3,NEOENERGIA,ON      NM,226098192,0.227,
NGRD3,NEOGRID,ON      NM,109743428,0.036,
OPCT3,OCEANPACT,ON      NM,128832326,0.035,
ODPV3,ODONTOPREV,ON      NM,257081661,0.232,
OMGE3,OMEGA GER,ON      NM,122904609,0.283,
ONCO3,ONCOCLINICAS,ON      NM,135788449,0.134,
ORVR3,ORIZON,ON      NM,23643749,0.046,
OFSA3,OUROFINO S/A,ON      NM,23582833,0.043,
PCAR3,P.ACUCAR-CBD,ON      NM,156946474,0.268,
PDTC3,PADTEC,ON      NM,34893806,0.015,
PGMN3,PAGUE MENOS,ON      NM,157843200,0.131,
PMAM3,PARANAPANEMA,ON      NM,43403849,0.031,
BRDT3,PETROBRAS BR,ON  EJ  NM,1164602565,1.898,
RECV3,PETRORECSA,ON      NM,231240239,0.257,
PRIO3,PETRORIO,ON      NM,839159130,1.116,
PETZ3,PETZ,ON      NM,258407844,0.441,
PLPL3,PLANOEPLANO,ON      NM,66384300,0.016,
PSSA3,PORTO SEGURO,ON      NM,90931801,0.301,
PTBL3,PORTOBELLO,ON      NM,66269176,0.050,
POSI3,POSITIVO TEC,ON      NM,78053723,0.063,
PRNR3,PRINER,ON      NM,38091055,0.021,
PFRM3,PROFARMA,ON      NM,87499778,0.031,
QUAL3,QUALICORP,ON      NM,283670037,0.415,
LJQQ3,QUERO-QUERO,ON      NM,179176919,0.210,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.780,
RDOR3,REDE D OR,ON  EDJ NM,929901433,4.140,
RDNI3,RNI,ON      NM,15049835,0.011,
RSID3,ROSSI RESID,ON      NM,16141939,0.010,
RAIL3,RUMO S.A.,ON      NM,1216056103,1.368,
SBSP3,SABESP,ON      NM,340001934,0.759,
STBP3,SANTOS BRP,ON      NM,857821689,0.413,
SCAR3,SAO CARLOS,ON      NM,24946928,0.060,
SMTO3,SAO MARTINHO,ON      NM,142845106,0.297,
SEQL3,SEQUOIA LOG,ON      NM,78010759,0.087,
SEER3,SER EDUCA,ON      NM,54338507,0.044,
SIMH3,SIMPAR,ON      NM,225252808,0.206,
SQIA3,SINQIA,ON      NM,77049738,0.109,
SLCE3,SLC AGRICOLA,ON      NM,89042697,0.251,
SMFT3,SMART FIT,ON      NM,243804766,0.411,
SGPS3,SPRINGS,ON      NM,23408641,0.013,
SUZB3,SUZANO S.A.,ON      NM,726779281,2.535,
SYNE3,SYN PROP TEC,ON      NM,59660124,0.041,
TRAD3,TC,ON      NM,86940212,0.042,
TECN3,TECHNOS,ON      NM,63500478,0.015,
TCSA3,TECNISA,ON      NM,52380706,0.018,
TGMA3,TEGMA,ON      NM,32001480,0.034,
TEND3,TENDA,ON      NM,96139516,0.117,
LAND3,TERRASANTAPA,ON      NM,30558664,0.033,
TIMS3,TIM,ON      NM,808619532,0.629,
SHOW3,TIME FOR FUN,ON      NM,34484939,0.011,
TOTS3,TOTVS,ON      NM,480960677,1.188,
TRIS3,TRISUL,ON      NM,83225626,0.040,
TPIS3,TRIUNFO PART,ON      NM,74237233,0.016,
TUPY3,TUPY,ON      NM,67547494,0.085,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.994,
UCAS3,UNICASA,ON      NM,28508438,0.008,
FIQE3,UNIFIQUE,ON      NM,101099463,0.045,
VALE3,VALE,ON      NM,3296296445,18.453,
VLID3,VALID,ON      NM,78269230,0.041,
VAMO3,VAMOS,ON      NM,200729920,0.206,
VIIA3,VIA,ON      NM,1595895585,0.883,
VITT3,VITTIA,ON      NM,44418605,0.027,
VIVA3,VIVARA S.A.,ON      NM,99446859,0.199,
VVEO3,VIVEO,ON      NM,115680492,0.183,
VULC3,VULCABRAS,ON      NM,73766391,0.044,
LVTC3,WDC NETWORKS,ON      NM,19400000,0.028,
WEGE3,WEG,ON      NM,1484859030,3.772,
WEST3,WESTWING,ON      NM,108526910,0.040,
WIZS3,WIZ S.A.,ON      NM,77540728,0.065,
YDUQ3,YDUQS PART,ON      NM,300833122,0.477,
Total Theorethical Quantity,,,67022987761,100.000
Reductor,,,377214899.66015671
