SMLL - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
SLCE3,SLC AGRICOLA,ON      NM,89042697,1.134,
SULA11,SUL AMERICA,UNT     N2,284771028,2.299,
SYNE3,SYN PROP TEC,ON      NM,59660124,0.185,
TAEE11,TAESA,UNT     N2,218568234,2.343,
TASA4,TAURUS ARMAS,PN      N2,62034762,0.407,
TECN3,TECHNOS,ON      NM,63500478,0.069,
TCSA3,TECNISA,ON      NM,52380706,0.082,
TGMA3,TEGMA,ON      NM,32001480,0.155,
TEND3,TENDA,ON      NM,96139516,0.527,
SHOW3,TIME FOR FUN,ON      NM,34484939,0.050,
TRIS3,TRISUL,ON      NM,83225626,0.181,
TPIS3,TRIUNFO PART,ON      NM,74237233,0.073,
TUPY3,TUPY,ON      NM,67547494,0.382,
UNIP6,UNIPAR,PNB,44861678,1.163,
VLID3,VALID,ON      NM,78269230,0.185,
VIVA3,VIVARA S.A.,ON      NM,99446859,0.896,
VULC3,VULCABRAS,ON      NM,73766391,0.198,
WEST3,WESTWING,ON      NM,108526910,0.182,
WIZS3,WIZ S.A.,ON      NM,77540728,0.294,
YDUQ3,YDUQS PART,ON      NM,300833122,2.151,
Total Theorethical Quantity,,,26493177271,100.000
Reductor,,,125539548.09317962
